TS                       Open     High      Low    Close Bias       BullFVG BearFVG BullIFVG BearIFVG
2025-12-02T02:03:00+00:00 25658.75 25660.00 25658.75 25660.00 Bullish          4       5        5        4
2025-12-02T02:04:00+00:00 25663.00 25663.00 25663.00 25663.00 Bullish          5       5        5        4
2025-12-02T02:05:00+00:00 25408.00 25408.75 25404.50 25407.25 Bearish          4       6        4        5
2025-12-02T02:06:00+00:00 25406.75 25408.00 25399.00 25403.50 Bearish          4       7        4        5
2025-12-02T02:07:00+00:00 25402.75 25402.75 25396.00 25401.50 Bearish          3       8        3        6
2025-12-02T02:08:00+00:00 25653.75 25653.75 25653.75 25653.75 Bullish          4       7        4        6
2025-12-02T02:09:00+00:00 25397.75 25398.25 25395.00 25396.25 Bearish          3       7        3        7
2025-12-02T02:10:00+00:00 25649.00 25649.00 25649.00 25649.00 Bullish          3       8        3        7
2025-12-02T02:11:00+00:00 25393.50 25397.50 25392.50 25395.25 Bearish          3       8        3        7
2025-12-02T02:12:00+00:00 25395.25 25395.25 25392.00 25392.00 Bearish          3       9        3        7
2025-12-02T02:13:00+00:00 25391.75 25395.75 25386.00 25389.00 Bearish          3       9        3        7
2025-12-02T02:14:00+00:00 25642.00 25648.00 25642.00 25648.00 Bullish          4       9        3        7
2025-12-02T02:15:00+00:00 25651.00 25651.00 25650.00 25650.00 Bullish          5       8        4        7
2025-12-02T02:16:00+00:00 25399.00 25407.00 25398.00 25405.00 Bearish          5       9        4        7
2025-12-02T02:17:00+00:00 25404.25 25407.25 25403.00 25403.25 Bearish          5      10        4        7
2025-12-02T02:18:00+00:00 25404.00 25406.00 25401.25 25401.75 Bearish          5      10        4        7
2025-12-02T02:19:00+00:00 25400.75 25403.25 25400.00 25401.00 Bearish          5      10        4        7
2025-12-02T02:20:00+00:00 25651.75 25651.75 25651.75 25651.75 Bullish          6       8        6        7
2025-12-02T02:21:00+00:00 25658.00 25658.00 25658.00 25658.00 Bullish          7       7        7        6
2025-12-02T02:22:00+00:00 25403.75 25404.00 25400.50 25401.75 Bearish          5       8        4        8
2025-12-02T02:23:00+00:00 25650.00 25650.00 25650.00 25650.00 Bullish          5       9        4        8
2025-12-02T02:24:00+00:00 25400.25 25403.50 25399.75 25401.00 Bearish          5       9        4        8
2025-12-02T02:25:00+00:00 25401.50 25404.00 25401.50 25403.25 Bearish          5      10        4        8
2025-12-02T02:26:00+00:00 25403.75 25405.50 25402.00 25402.75 Bearish          5      10        4        8
2025-12-02T02:27:00+00:00 25402.75 25404.00 25401.00 25402.50 Bearish          5      10        4        8
2025-12-02T02:28:00+00:00 25402.00 25404.00 25400.25 25402.75 Bearish          5      10        4        8
2025-12-02T02:29:00+00:00 25403.25 25403.50 25401.00 25401.00 Bearish          5      10        4        8
2025-12-02T02:30:00+00:00 25401.00 25403.75 25396.75 25401.00 Bearish          5      10        4        8
2025-12-02T02:31:00+00:00 25400.25 25403.50 25397.00 25400.50 Bearish          5      10        4        8
2025-12-02T02:32:00+00:00 25651.25 25651.25 25648.00 25648.50 Bullish          6      10        4        8
2025-12-02T02:33:00+00:00 25395.75 25400.50 25395.25 25397.25 Bearish          5      10        4        9
2025-12-02T02:34:00+00:00 25396.75 25398.00 25395.00 25396.75 Bearish          5      11        4        9
2025-12-02T02:35:00+00:00 25397.25 25399.75 25397.00 25399.00 Bullish          5      11        4        9
2025-12-02T02:36:00+00:00 25399.75 25405.00 25399.75 25403.00 Bullish          6      11        4        9
2025-12-02T02:37:00+00:00 25656.75 25657.00 25656.75 25657.00 Bullish          7       8        7        7
2025-12-02T02:38:00+00:00 25660.75 25662.50 25660.75 25662.50 Bullish          8       6        9        5
2025-12-02T02:39:00+00:00 25408.25 25411.50 25407.75 25409.25 Bearish          8       7        8        5
2025-12-02T02:40:00+00:00 25409.75 25412.00 25409.50 25411.75 Bullish          8       8        8        5
2025-12-02T02:41:00+00:00 25411.75 25418.75 25411.75 25417.50 Bullish          9       8        8        5
2025-12-02T02:42:00+00:00 25671.25 25671.25 25670.75 25670.75 Bullish         10       3       13        2
2025-12-02T02:43:00+00:00 25418.00 25418.75 25416.00 25417.75 Bearish         10       3       11        2
2025-12-02T02:44:00+00:00 25673.25 25673.25 25673.25 25673.25 Bullish         11       3       11        2
2025-12-02T02:45:00+00:00 25419.25 25423.00 25418.75 25421.50 Bearish         10       3       11        3
2025-12-02T02:46:00+00:00 25420.75 25422.00 25419.25 25421.00 Bearish         10       4       11        3
2025-12-02T02:47:00+00:00 25421.00 25423.00 25418.00 25419.00 Bearish         10       4       11        3
2025-12-02T02:48:00+00:00 25671.00 25671.00 25671.00 25671.00 Bullish         11       4       11        3
